Address Title,Address Code,Address Line 1,City,Postal Code,Destination Address
CHANDISAR,Chandisar – Palanpur,"VAISHNODEVI REFOILS & SOLVEX PLOT NO.235/3 VILLAGE - CHANDISAR TALUKA-PALANPUR, DIST-BANASKANTHA ",PALANPUR,385510,TRUE
217233490,Charan Paaduka,"Khasra. No. 86/25/1, G/F, Village Ghevra, Mundka",DELHI,110041,TRUE
SAJ4,CHEMCO PLASTIC INDUSTRIES PVT LTD," Plot No 32/33 Survey No 188/P,189/P Chemco Plastic Ind  Savli Industrie Alindra,Manjusar  Vadodara Gujarat",VADODARA,391775,TRUE
SANAND,Chemco Plastic Industries Pvt. Ltd," BOL INDUSTRIAL ESTATE PHASE II,  ,BOL INDUSTRIAL ESTATE PHASE II,  ,PLOT NO. PE 45, SANAND GIDC, ROAD NO. F/38, SANAND Ahmedabad Gujarat",AHMEDABAD,382170,TRUE
218249648,Chetak Plastics,"1501, Gokul Bala Gate, Magarwara,",UNNAO,209862,TRUE
32180697,CMT Arts,"PLOT NO. 39, SAI VILLA, MISSION COMPOUND, NEAR AJMER PULIA ,JAIPUR,  RAJASTHAN",JAIPUR,302001,TRUE
CONA FWEAR,"CONA FOOTWEAR INDIA PVT LTD,","C29/1 SITE-C UPSIDC SIKANDRA, AGRA ",AGRA,282007,TRUE
Y-710,CPC NARODA,"RELIANCE RETAIL LTD, GATE NO 5, GIDC NARODA, AHMEDABAD",AHMEDABAD,382330,TRUE
30304770,CREATIVE GARMENTS PVT LTD,"SURVEY/PLOT NO. 440/1,2,3, 443/1,2, 482/1,2,3 ,482/4&5 ( 1st,2nd FLR&EXCEPT 358.325 SQM.IN GR.FLR)482/2, NR.DABHELCHECK POST,DABHEL DAMAN & DNH",DAMAN & DIU (UT),396210,TRUE
DAMOH,DAMOH,DAMOH,DAMOH,470661,TRUE
30402832,DAZZLE FOOTWEAR,"Selaqui, Dehradun, SELAQUI",DEHRADUN,248197,TRUE
Y734,DC,"19/8 Milestone, Saad Warehouse, Village Chhan, ",BHOPAL,462047,TRUE
Y715,DC Jaipur,Vishwakarma Industrial Area,JAIPUR,,TRUE
Y726,DC Pataudi,"Tajnagar Road, Jamalpur Chowk,",GURUGRAM,123502,TRUE
DEEP,DEEP ENTERPRISES," PLOT NO 3278, G.F BLOCK-J, DSIDC NARELA INDUSTRIAL AREA, NEW DELHI",DELHI,110040,TRUE
10204267,Deep Green Incorporation,"B-267, Sector-3, Bawana Industrial Area, Bawana, Delhi",DELHI,110039,TRUE
32181081,DESIGN DESTINATION,"J-125, PARSHWANATH CITY, PAL SANAGRIYA BYE PASS, SANGARIYA, JODHPUR, RAJASTHAN,",JODHPUR,342013,TRUE
60400379,DEVARPAN FOODS PRIVATE LIMITED,KASHIPUR,KASHIPUR,244713,TRUE
AF_RABBY_R,Devpara Plot Charaniya Village Charaniya Taluka - ,"Rajkot, GJ 365480  ",RAJKOT,365480,TRUE
